label|description|prevention|treatment|example_picture
Apple___Apple_scab|"Apple scab is a fungal disease caused by Venturia inaequalis. It produces olive-green to brown spots on leaves and fruit surfaces leading to reduced fruit quality and yield."|"Plant resistant apple varieties. Rake and destroy fallen leaves in autumn. Ensure good air circulation by pruning trees regularly."|"Apply fungicides such as captan or myclobutanil at bud break and continue through the growing season as directed."|
Apple___Black_rot|"Black rot is caused by the fungus Botryosphaeria obtusa. It causes circular brown lesions on leaves and rotting of fruit starting from the blossom end."|"Remove and destroy mummified fruits and dead wood. Prune out infected branches. Avoid wounding trees during maintenance."|"Apply copper-based fungicides or thiophanate-methyl during the growing season. Remove infected plant material promptly."|
Apple___Cedar_apple_rust|"Cedar apple rust is caused by Gymnosporangium juniperi-virginianae. It produces bright orange-yellow spots on apple leaves and can defoliate trees."|"Remove nearby juniper or cedar trees if possible. Plant resistant apple varieties. Apply preventive fungicides in spring."|"Apply fungicides containing myclobutanil or propiconazole starting at pink bud stage and repeat every 7-10 days during wet weather."|
Apple___healthy|"The apple plant appears healthy with no visible signs of disease or pest damage. Leaves are green and fruit development is normal."|"Maintain regular pruning for air circulation. Apply balanced fertilizers. Monitor regularly for early signs of disease or pests."|"No treatment needed. Continue routine orchard management practices including irrigation and pest monitoring."|
Blueberry___healthy|"The blueberry plant appears healthy with no visible signs of disease or pest damage. Foliage is vibrant and growth appears normal."|"Maintain soil pH between 4.5 and 5.5. Mulch around plants to retain moisture. Prune annually to encourage new growth."|"No treatment needed. Continue routine care including watering and fertilization with acid-forming fertilizers."|
Cherry_(including_sour)___healthy|"The cherry plant appears healthy with no visible signs of disease or pest damage. Leaves are glossy green and growth is normal."|"Ensure proper spacing for air circulation. Water at the base to keep foliage dry. Monitor for pests regularly."|"No treatment needed. Maintain good orchard hygiene and continue routine care practices."|
Cherry_(including_sour)___Powdery_mildew|"Powdery mildew on cherry is caused by Podosphaera clandestina. It appears as white powdery patches on young leaves shoots and fruit causing distortion and reduced quality."|"Plant resistant varieties. Avoid excessive nitrogen fertilization. Prune to improve air circulation and reduce humidity around the canopy."|"Apply sulfur-based fungicides or potassium bicarbonate at first sign of infection. Neem oil can also be effective for mild infections."|
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot|"Gray leaf spot is caused by Cercospora zeae-maydis. It produces rectangular gray to tan lesions with yellow halos on leaves reducing photosynthesis and yield."|"Plant resistant hybrids. Rotate crops with non-host plants. Manage crop residue by tillage to reduce inoculum."|"Apply strobilurin or triazole fungicides at early tassel stage. Follow label directions and observe pre-harvest intervals."|
Corn_(maize)___Common_rust_|"Common rust is caused by Puccinia sorghi. It produces small circular to elongated pustules that are cinnamon-brown on both leaf surfaces reducing photosynthetic area."|"Plant resistant hybrids. Early planting can help avoid peak rust periods. Monitor fields regularly during the growing season."|"Apply triazole fungicides such as propiconazole at early infection stages. Treatment is most effective before disease spreads widely."|
Corn_(maize)___healthy|"The corn plant appears healthy with no visible signs of disease or pest damage. Leaves are dark green and plant development is progressing normally."|"Use certified disease-free seed. Rotate crops annually. Maintain proper plant spacing and balanced soil fertility."|"No treatment needed. Continue routine agronomic practices including fertilization and weed management."|
